0.5608525276184082:0.9755222201347351 0.5676510334014893:0.9707068204879761 0.5649745464324951:0.9705304503440857 0.5312281250953674:0.929405927658081 0.5035587549209595:0.9397003650665283 0.4622070789337158:0.8943639397621155 0.41218361258506775:0.9202517867088318 0.6526655554771423:0.9495550990104675 0.647355854511261:0.9468594789505005 0.9165360927581787:0.9806509017944336 0.8702084422111511:0.8913196921348572 0.18529753386974335:0.5563459992408752 0.17566533386707306:0.5426475405693054 0.527597188949585:0.3037865459918976 0.522713303565979:0.3100910484790802 0.9299212694168091:0.13108505308628082 0.9219168424606323:0.13659489154815674 ,bridge
0.49986234307289124:0.9891905784606934 0.5260744690895081:0.9735933542251587 0.5159363150596619:0.9828718900680542 0.5067691802978516:0.9160044193267822 0.49897998571395874:0.9267709255218506 0.34597140550613403:0.8476614356040955 0.39060884714126587:0.9480701088905334 0.6513720154762268:0.9482916593551636 0.6478119492530823:0.930666446685791 0.9262496829032898:0.929583728313446 0.8927646279335022:0.9001297354698181 0.07353202253580093:0.5376633405685425 0.06729021668434143:0.5457953810691833 0.430982768535614:0.15920588374137878 0.4247543215751648:0.1590408980846405 0.8501111268997192:0.20375344157218933 0.8408586382865906:0.20252400636672974 ,bridge
0.5568497180938721:0.05223599821329117 0.5721168518066406:0.09081379324197769 0.5764326453208923:0.0893615111708641 0.489023894071579:0.12946817278862 0.4978577196598053:0.13609689474105835 0.3175320327281952:0.1524575650691986 0.31958672404289246:0.16382703185081482 0.6503269076347351:0.05811591446399689 0.6612891554832458:0.049985915422439575 0.888526439666748:0.13225750625133514 0.9394968748092651:0.03875377029180527 0.08353626728057861:0.4773855209350586 0.09787127375602722:0.48017939925193787 0.39971643686294556:0.8260955214500427 0.39814817905426025:0.8538251519203186 0.8231751322746277:0.7625133395195007 0.852150559425354:0.8144329190254211 ,bridge
0.447735995054245:0.07369260489940643 0.4518404006958008:0.06254251301288605 0.45341524481773376:0.06353587657213211 0.39665278792381287:0.08763916045427322 0.39196401834487915:0.09937182813882828 0.2649237811565399:0.17892172932624817 0.2701270580291748:0.18463362753391266 0.6175241470336914:0.11653722077608109 0.612644612789154:0.11979473382234573 0.9083113670349121:0.12306394428014755 0.9198368787765503:0.11845690757036209 0.14372074604034424:0.48879021406173706 0.1587822139263153:0.4898059070110321 0.49208441376686096:0.6989121437072754 0.49773019552230835:0.7053897380828857 0.8862622976303101:0.8750001192092896 0.8909326791763306:0.8777337074279785 ,bridge
0.48855841159820557:0.8024070858955383 0.5078032612800598:0.8253658413887024 0.5118878483772278:0.8232647180557251 0.4658827781677246:0.7942913770675659 0.4802617132663727:0.7887909412384033 0.4036775827407837:0.8335315585136414 0.4369227886199951:0.822668194770813 0.662566602230072:0.9565520882606506 0.655299961566925:0.9052078723907471 0.9079827070236206:0.969176173210144 0.8740916848182678:0.920007050037384 0.09898056834936142:0.48683711886405945 0.10807109624147415:0.47829633951187134 0.35338491201400757:0.1104930192232132 0.3930799663066864:0.17607936263084412 0.794664740562439:0.12717434763908386 0.7758493423461914:0.15881666541099548 ,bridge
0.5350680351257324:0.07918433099985123 0.5456345081329346:0.10755573213100433 0.5430654883384705:0.10417956858873367 0.4731900691986084:0.15547233819961548 0.47230222821235657:0.15847299993038177 0.3205699920654297:0.1514304131269455 0.3428543508052826:0.14138777554035187 0.6371930837631226:0.11160243302583694 0.665273904800415:0.049869731068611145 0.8435002565383911:0.14998584985733032 0.9475357532501221:0.10930818319320679 0.1660090684890747:0.5232691764831543 0.17828592658042908:0.522739589214325 0.470996618270874:0.833392322063446 0.45235151052474976:0.9068803191184998 0.8233374953269958:0.8666207790374756 0.8814976215362549:0.9395684003829956 ,bridge
0.4956740140914917:0.8880988359451294 0.5181643962860107:0.873828649520874 0.5206798911094666:0.8668341040611267 0.4859689772129059:0.830195963382721 0.48706361651420593:0.8145951628684998 0.38817882537841797:0.8707857131958008 0.3717157244682312:0.8224373459815979 0.6383634209632874:0.9650143384933472 0.5818641781806946:0.8422881960868835 0.8988266587257385:0.9506202340126038 0.767135500907898:0.8486694693565369 0.20846325159072876:0.44031310081481934 0.18644167482852936:0.4191809892654419 0.4316633343696594:0.13050809502601624 0.4205018877983093:0.12815436720848083 0.842304527759552:0.1773856282234192 0.7474327087402344:0.16298048198223114 ,bridge
0.5012249946594238:0.06575115770101547 0.5315184593200684:0.08968877047300339 0.5316954255104065:0.08699347078800201 0.4924314618110657:0.16738909482955933 0.49128037691116333:0.16587857902050018 0.3327515423297882:0.20117130875587463 0.34124454855918884:0.20568890869617462 0.5663806796073914:0.06795444339513779 0.5868374109268188:0.03907470032572746 0.7752333879470825:0.06731494516134262 0.8735993504524231:0.027293477207422256 0.12026023864746094:0.5702030062675476 0.11406319588422775:0.576452374458313 0.40567952394485474:0.7798202037811279 0.4180874526500702:0.9291571974754333 0.712888240814209:0.7284538149833679 0.8517425060272217:0.7973611354827881 ,bridge
0.5959275364875793:0.12554001808166504 0.6024608016014099:0.1368166208267212 0.6063777208328247:0.1645454615354538 0.5553519129753113:0.19718097150325775 0.5484601855278015:0.24331094324588776 0.3617950975894928:0.15590263903141022 0.38686859607696533:0.26169371604919434 0.648449718952179:0.03412458673119545 0.6749342679977417:0.15725736320018768 0.8998447060585022:0.03271544724702835 0.9713245630264282:0.14613007009029388 0.07711904495954514:0.5221761465072632 0.05824224650859833:0.5071349143981934 0.39869382977485657:0.7583555579185486 0.36356329917907715:0.860668957233429 0.7467387914657593:0.7847235202789307 0.7722247838973999:0.8849418759346008 ,bridge
0.7737815976142883:0.1414484679698944 0.7901237607002258:0.15105925500392914 0.7905540466308594:0.1403942108154297 0.768156111240387:0.19800707697868347 0.7668979167938232:0.19427229464054108 0.6463439464569092:0.23300866782665253 0.6715987920761108:0.25535836815834045 0.7811319828033447:0.17058327794075012 0.8062834739685059:0.08511645346879959 0.9252302646636963:0.1381184458732605 0.9634220004081726:0.036369603127241135 0.5526724457740784:0.6194090247154236 0.5404542088508606:0.5929227471351624 0.7238607406616211:0.8739404082298279 0.2762582004070282:0.7418161034584045 0.9176117777824402:0.7899903655052185 0.9158437252044678:0.785081684589386 ,bridge
